lineage,sense,BP,RI,DVG_type,read_counts_virema,read_counts_ditector,pBP_virema,pRI_virema,pBP_ditector,pRI_ditector,rpht_virema,rpht_ditector,length_dvg,p(real),strain,rep,program
P,pos,3050,4482,Deletion_forward,0,1,0,0,0.000291121,0,0,0.4671172791352725,8706,0.5043430198584998,B,1,ditector
P,pos,3425,3311,Insertion_forward,0,1,0,0,0.000272628,0,0,0.4671172791352725,10252,0.5043430198584998,B,1,ditector
P,pos,524,312,Insertion_forward,0,1,0,0,0.000471476,0,0,0.4671172791352725,10350,0.5130046133928432,B,1,ditector
P,pos,6742,9708,Deletion_forward,0,1,0,0,0.000367107,0,0,0.4671172791352725,7172,0.5088600769434414,B,1,ditector
P,pos,7086,8067,Deletion_forward,0,1,0,0,0.000338066,0,0,0.4671172791352725,9157,0.5043430198584998,B,1,ditector
P,pos,7927,7053,Insertion_forward,0,1,0,0,0.000356888,0,0,0.4671172791352725,11012,0.5043430198584998,B,1,ditector
K,pos,8849,8851,Deletion_forward,1,0,0.000285551,0.00028401,0,0.000265675,0.5349710580657586,0,10136,0.5677776824980808,B,1,virema
P,pos,2788,2790,Deletion_forward,1,0,0.00066357,0.00065445,0,0.000471476,0.5220950630690836,0,10136,0.5990939725879804,B,1,virema
P,pos,6710,6712,Deletion_forward,1,0,0.000318167,0.000316156,0,0.000315457,0.5220950630690836,0,10136,0.7063994445248879,B,1,virema
L,neg_pos,7759,7721,3cb/sb,0,1,0,0,0.000298775,0,0,0.3231007331155634,4796,0.5213489588445679,B,1,ditector
N,neg_pos,8466,8520,3cb/sb,1,1,0.000394166,0.000342583,0.000352485,0.000272777,0.440957937,0.428397622,3290,0.717653261,B,1,both
E,neg_pos,3236,3281,3cb/sb,1,0,0.000349895,0.000294811,0,0.000278396,0.4248611766105425,0,13759,0.5276867605837201,B,1,virema
E,neg_pos,5393,5356,3cb/sb,1,0,0.000294638,0.000244918,0,0.000241896,0.4248611766105425,0,9527,0.8029152683517271,B,1,virema
J,neg_pos,9006,9030,3cb/sb,2,0,0.00075358,0.000794913,0,0.00058548,1.215835035502383,0,2240,0.7798702087271975,B,1,virema
K,neg_pos,9006,9030,3cb/sb,2,0,0.000628733,0.000658979,0,0.000505051,1.0699421161315172,0,2240,0.7648189049259632,B,1,virema
L,neg_pos,9251,9291,3cb/sb,1,0,0.000249875,0.000479616,0,0.00038956,0.3456117673894561,0,1734,0.7438130027787689,B,1,virema
M,neg_pos,5048,5064,3cb/sb,1,0,0.000617284,0.000524934,0,0.00023872,0.4448022631539149,0,10164,0.5006982707465831,B,1,virema
P,neg_pos,9006,9030,3cb/sb,2,0,0.000514536,0.000548546,0,0.000528541,1.0441901261381672,0,2240,0.8182437420267924,B,1,virema
M,pos_neg,1546,1532,5cb/sb,1,0,0.000279096,0.000294118,0,0.000284252,0.4448022631539149,0,3078,0.7149288232143691,B,1,virema
N,pos_neg,6910,5493,5cb/sb,1,0,0.00024728,0.000294377,0,0.000273823,0.440957937,0,12403,0.79486721,B,1,virema
C,neg,5200,5198,Deletion_reverse,1,0,0.005847953,0.00591716,0,0.004504505,22.44668911,0,10135,0.513085804,A,1,virema
C,neg,1574,1572,Deletion_reverse,1,0,0.00617284,0.00621118,0,0.00621118,8.612522608,0,10136,0.822902216,B,1,virema
C,neg,186,184,Deletion_reverse,1,0,0.008,0.008064516,0,0.008,8.612522608,0,10136,0.849584096,B,1,virema
C,neg,2194,2192,Deletion_reverse,1,0,0.007142857,0.007142857,0,0.005464481,8.612522608,0,10136,0.670699288,B,1,virema
C,neg,2228,4972,Insertion_reverse,1,0,0.006535948,0.006535948,0,0.005263158,8.612522608,0,12882,0.77642045,B,1,virema
C,neg,2245,2243,Deletion_reverse,1,0,0.006993007,0.006944444,0,0.00621118,8.612522608,0,10136,0.822902216,B,1,virema
C,neg,224,222,Deletion_reverse,1,0,0.008695652,0.00862069,0,0.008695652,8.612522608,0,10136,0.796453504,B,1,virema
C,neg,2939,2937,Deletion_reverse,1,0,0.00621118,0.00621118,0,0.005617978,8.612522608,0,10136,0.797339727,B,1,virema
C,neg,2947,2947,Insertion_reverse,1,0,0.006289308,0.006289308,0,0.005681818,8.612522608,0,10138,0.797339727,B,1,virema
C,neg,2972,3296,Insertion_reverse,1,0,0.005376344,0.00617284,0,0.005747126,8.612522608,0,10462,0.727430802,B,1,virema
C,neg,2993,2991,Deletion_reverse,1,0,0.004651163,0.004672897,0,0.00462963,8.612522608,0,10136,0.763569971,B,1,virema
C,neg,3038,2977,Deletion_reverse,1,0,0.005154639,0.005319149,0,0.005263158,8.612522608,0,10077,0.849889519,B,1,virema
C,neg,3340,3338,Deletion_reverse,1,0,0.005988024,0.005988024,0,0.005649718,8.612522608,0,10136,0.599432865,B,1,virema
C,neg,3434,3432,Deletion_reverse,1,0,0.004291845,0.004291845,0,0.004310345,8.612522608,0,10136,0.57819114,B,1,virema
C,neg,3456,7498,Insertion_reverse,1,0,0.004201681,0.011764706,0,0.009433962,8.612522608,0,14180,0.715983988,B,1,virema
C,neg,3686,5871,Insertion_reverse,1,0,0.007092199,0.006622517,0,0.005050505,8.612522608,0,12323,0.720013377,B,1,virema
C,neg,3790,8578,Insertion_reverse,1,0,0.005464481,0.004385965,0,0.004366812,8.612522608,0,14926,0.792285203,B,1,virema
C,neg,4234,5104,Insertion_reverse,1,0,0.009708738,0.007142857,0,0.005681818,8.612522608,0,11008,0.506299187,B,1,virema
C,neg,4257,4254,Deletion_reverse,1,0,0.008333333,0.008474576,0,0.0041841,8.612522608,0,10135,0.605749543,B,1,virema
C,neg,4330,6760,Insertion_reverse,1,0,0.005291005,0.006289308,0,0.006329114,8.612522608,0,12568,0.719861997,B,1,virema
C,neg,4485,4700,Insertion_reverse,1,0,0.009009009,0.003597122,0,0.002824859,8.612522608,0,10353,0.683423543,B,1,virema
C,neg,4645,4645,Insertion_reverse,2,0,0.013071895,0.013071895,0,0.007246377,17.22504522,0,10138,0.57819114,B,1,virema
C,neg,4777,2995,Deletion_reverse,1,0,0.004081633,0.00462963,0,0.00462963,8.612522608,0,8356,0.631714947,B,1,virema
C,neg,4787,4787,Insertion_reverse,1,0,0.004807692,0.004807692,0,0.004524887,8.612522608,0,10138,0.758320442,B,1,virema
C,neg,4847,4845,Deletion_reverse,1,0,0.004255319,0.004524887,0,0.004219409,8.612522608,0,10136,0.633499916,B,1,virema
C,neg,4867,4864,Deletion_reverse,1,0,0.003937008,0.003937008,0,0.003921569,8.612522608,0,10135,0.853927983,B,1,virema
C,neg,5364,5361,Deletion_reverse,1,0,0.005263158,0.005263158,0,0.005208333,8.612522608,0,10135,0.712637746,B,1,virema
C,neg,5434,8249,Insertion_reverse,1,0,0.005154639,0.004807692,0,0.004807692,8.612522608,0,12953,0.792285203,B,1,virema
C,neg,5469,6271,Insertion_reverse,1,0,0.005617978,0.012195122,0,0.01,8.612522608,0,10940,0.68606765,B,1,virema
C,neg,6191,6191,Insertion_reverse,1,0,0.004830918,0.004830918,0,0.004830918,8.612522608,0,10138,0.737863934,B,1,virema
C,neg,6278,6276,Deletion_reverse,1,0,0.014285714,0.014285714,0,0.011363636,8.612522608,0,10136,0.667069496,B,1,virema
C,neg,6730,6727,Deletion_reverse,1,0,0.005208333,0.005128205,0,0.005154639,8.612522608,0,10135,0.817832511,B,1,virema
C,neg,7181,7179,Deletion_reverse,1,0,0.006896552,0.006896552,0,0.006896552,8.612522608,0,10136,0.820739606,B,1,virema
C,neg,7433,7430,Deletion_reverse,1,0,0.003984064,0.003921569,0,0.003745318,8.612522608,0,10135,0.610005054,B,1,virema
C,neg,8504,4456,Deletion_reverse,1,0,0.006060606,0.006711409,0,0.006622517,8.612522608,0,6090,0.591722409,B,1,virema
C,neg,8922,8561,Deletion_reverse,1,0,0.005524862,0.004310345,0,0.004310345,8.612522608,0,9777,0.777724871,B,1,virema
C,neg,8996,7671,Deletion_reverse,1,0,0.004464286,0.03125,0,0.006060606,8.612522608,0,8813,0.60499076,B,1,virema
C,neg,9006,9004,Deletion_reverse,1,0,0.004545455,0.004545455,0,0.004273504,8.612522608,0,10136,0.552747,B,1,virema
C,neg,9229,9227,Deletion_reverse,1,0,0.005347594,0.005319149,0,0.005291005,8.612522608,0,10136,0.727714417,B,1,virema
C,neg,9467,9464,Deletion_reverse,1,0,0.005780347,0.006097561,0,0.005813953,8.612522608,0,10135,0.578751278,B,1,virema
C,neg,9496,2171,Deletion_reverse,1,0,0.005208333,0.008547009,0,0.006329114,8.612522608,0,2813,0.687610461,B,1,virema
C,neg,9549,9490,Deletion_reverse,1,0,0.005376344,0.005128205,0,0.005102041,8.612522608,0,10079,0.578751278,B,1,virema
C,neg,9585,8853,Deletion_reverse,1,0,0.00456621,0.004385965,0,0.004385965,8.612522608,0,9406,0.718109243,B,1,virema
C,neg,9677,9675,Deletion_reverse,2,0,0.010416667,0.010309278,0,0.009569378,17.22504522,0,10136,0.817832511,B,1,virema
C,neg,9863,9861,Deletion_reverse,1,0,0.009345794,0.010416667,0,0.009433962,8.612522608,0,10136,0.5575811,B,1,virema
E,neg,103,101,Deletion_reverse,1,0,0.000551572,0.000562114,0,0.000437637,1.0916673034725937,0,10135,0.6916440867813485,A,1,virema
E,neg,2313,2310,Deletion_reverse,1,0,0.003174603,0.003194888,0,0.001176471,1.0916673034725937,0,10134,0.8179982475158883,A,1,virema
E,neg,2331,2329,Deletion_reverse,1,0,0.002915452,0.00295858,0,0.001219512,1.0916673034725937,0,10135,0.8178325110080042,A,1,virema
E,neg,2835,2835,Insertion_reverse,1,0,0.002364066,0.002364066,0,0.00077101,1.0916673034725937,0,10137,0.6303694653886907,A,1,virema
E,neg,4037,4035,Deletion_reverse,1,0,0.000685401,0.000737463,0,0.000396983,1.0916673034725937,0,10135,0.5122212228853685,A,1,virema
E,neg,5203,5200,Deletion_reverse,2,0,0.000538793,0.000559754,0,0.000475398,2.1833346069451873,0,10134,0.6222523590078004,A,1,virema
E,neg,5373,5448,Insertion_reverse,1,0,0.00027248,0.002298851,0,0.000720981,1.0916673034725937,0,10212,0.609536147,A,1,virema
E,neg,5457,5455,Deletion_reverse,1,0,0.002298851,0.002309469,0,0.00074239,1.0916673034725937,0,10135,0.722899494,A,1,virema
E,neg,5857,5854,Deletion_reverse,2,0,0.000854701,0.000856164,0,0.000564016,2.1833346069451873,0,10134,0.795530109,A,1,virema
E,neg,7230,7228,Deletion_reverse,1,0,0.0008726,0.000878735,0,0.002012072,1.0916673034725937,0,10135,0.6712816608775048,A,1,virema
E,neg,725,723,Deletion_reverse,1,0,0.000726744,0.000732601,0,0.000245881,1.0916673034725937,0,10135,0.7118137767606539,A,1,virema
E,neg,733,731,Deletion_reverse,1,0,0.000633312,0.000657895,0,0.00024919,1.0916673034725937,0,10135,0.6267200843599554,A,1,virema
E,neg,8306,8304,Deletion_reverse,1,0,0.003921569,0.003921569,0,0.000715308,1.0916673034725937,0,10135,0.7197745570531257,A,1,virema
E,neg,846,844,Deletion_reverse,1,0,0.000646831,0.000657895,0,0.000389257,1.0916673034725937,0,10135,0.6223582487429901,A,1,virema
E,neg,913,910,Deletion_reverse,1,0,0.000503018,0.000503778,0,0.000479846,1.0916673034725937,0,10134,0.9115172300485751,A,1,virema
E,neg,916,914,Deletion_reverse,1,0,0.000503018,0.000500501,0,0.000478698,1.0916673034725937,0,10135,0.8751569368423804,A,1,virema
E,neg,920,918,Deletion_reverse,2,0,0.000998004,0.000996016,0,0.000958773,2.1833346069451873,0,10135,0.7802330406873373,A,1,virema
E,neg,10000,9998,Deletion_reverse,1,0,0.000400962,0.000399042,0,0.000396354,0.4248611766105425,0,10136,0.7594543920811402,B,1,virema
E,neg,10007,10005,Deletion_reverse,1,0,0.000415628,0.000414422,0,0.000413052,0.4248611766105425,0,10136,0.7928351322500047,B,1,virema
E,neg,10013,10011,Deletion_reverse,1,0,0.00041841,0.000419815,0,0.00041876,0.4248611766105425,0,10136,0.7517203030029945,B,1,virema
E,neg,10038,10112,Insertion_reverse,1,0,0.000436491,0.003831418,0,0.003731343,0.4248611766105425,0,10212,0.6911655088652435,B,1,virema
E,neg,10039,10037,Deletion_reverse,1,0,0.000436681,0.000435161,0,0.000434028,0.4248611766105425,0,10136,0.8155883483645191,B,1,virema
E,neg,10040,10037,Deletion_reverse,1,0,0.000437063,0.000435161,0,0.000434028,0.4248611766105425,0,10135,0.7932170761119977,B,1,virema
E,neg,109,107,Deletion_reverse,1,0,0.000453926,0.000461255,0,0.000437637,0.4248611766105425,0,10136,0.7185945777745936,B,1,virema
E,neg,145,143,Deletion_reverse,1,0,0.000446828,0.000450857,0,0.000449236,0.4248611766105425,0,10136,0.5809428825432738,B,1,virema
E,neg,1532,1530,Deletion_reverse,1,0,0.000369686,0.000369413,0,0.000331675,0.4248611766105425,0,10136,0.6964943894718838,B,1,virema
E,neg,1569,1569,Insertion_reverse,2,0,0.000670017,0.000670017,0,0.00066291,0.849722353,0,10138,0.5928378054538889,B,1,virema
E,neg,1574,1572,Deletion_reverse,1,0,0.000333111,0.00033389,0,0.000330579,0.4248611766105425,0,10136,0.7798107784259313,B,1,virema
E,neg,1583,1636,Insertion_reverse,1,0,0.000339674,0.00056243,0,0.000489716,0.4248611766105425,0,10191,0.5554788647057171,B,1,virema
E,neg,1588,7094,Insertion_reverse,1,0,0.000340136,0.000649351,0,0.000372162,0.4248611766105425,0,15644,0.8692606452298304,B,1,virema
E,neg,1607,1605,Deletion_reverse,2,0,0.000779727,0.000809717,0,0.00080289,0.849722353,0,10136,0.8254211073463699,B,1,virema
E,neg,1607,7460,Insertion_reverse,1,0,0.000389864,0.000299222,0,0.000296209,0.4248611766105425,0,15991,0.7932021593010116,B,1,virema
E,neg,187,183,Deletion_reverse,1,0,0.000429738,0.000425894,0,0.000425351,0.4248611766105425,0,10134,0.7970378477586706,B,1,virema
E,neg,193,190,Deletion_reverse,1,0,0.000427716,0.000426257,0,0.000424628,0.4248611766105425,0,10135,0.7621576227185999,B,1,virema
E,neg,2171,2169,Deletion_reverse,1,0,0.000376364,0.000389408,0,0.000283126,0.4248611766105425,0,10136,0.6918918598957995,B,1,virema
E,neg,2181,2645,Insertion_reverse,1,0,0.000376932,0.001097695,0,0.000514139,0.4248611766105425,0,10602,0.743192571,B,1,virema
E,neg,2208,2206,Deletion_reverse,1,0,0.000314367,0.000315956,0,0.00026455,0.4248611766105425,0,10136,0.7798184448720323,B,1,virema
E,neg,2243,2241,Deletion_reverse,1,0,0.000338868,0.000338524,0,0.000314169,0.4248611766105425,0,10136,0.7928351322500047,B,1,virema
E,neg,2244,2244,Insertion_reverse,1,0,0.00034188,0.00034188,0,0.000316456,0.4248611766105425,0,10138,0.7928351322500047,B,1,virema
E,neg,2245,2243,Deletion_reverse,4,0,0.00137457,0.001355473,0,0.001258653,1.699444706,0,10136,0.7288898304058907,B,1,virema
E,neg,2248,2243,Deletion_reverse,1,0,0.00034002,0.000338868,0,0.000314663,0.4248611766105425,0,10133,0.7675986049508596,B,1,virema
E,neg,2254,2251,Deletion_reverse,1,0,0.000346741,0.000340368,0,0.000314961,0.4248611766105425,0,10135,0.7786123641377577,B,1,virema
E,neg,2264,2262,Deletion_reverse,2,0,0.000707464,0.000722804,0,0.000651678,0.849722353,0,10136,0.7951283082420537,B,1,virema
E,neg,2266,2264,Deletion_reverse,2,0,0.000711997,0.000707464,0,0.00063857,0.849722353,0,10136,0.8220137355962636,B,1,virema
E,neg,2271,2269,Deletion_reverse,1,0,0.000356633,0.000355619,0,0.000320616,0.4248611766105425,0,10136,0.7589634039256813,B,1,virema
E,neg,2292,8352,Insertion_reverse,1,0,0.000307409,0.000589971,0,0.000558347,0.4248611766105425,0,16198,0.7153772323450805,B,1,virema
E,neg,2296,2294,Deletion_reverse,1,0,0.000312012,0.000305344,0,0.000305064,0.4248611766105425,0,10136,0.8083420639188802,B,1,virema
E,neg,2297,2294,Deletion_reverse,1,0,0.000312207,0.000305344,0,0.000305064,0.4248611766105425,0,10135,0.7747338324765846,B,1,virema
E,neg,2621,9184,Insertion_reverse,1,0,0.001481481,0.000259134,0,0.000259605,0.4248611766105425,0,16701,0.5130330931767298,B,1,virema
E,neg,2657,2654,Deletion_reverse,2,0,0.001888574,0.001937984,0,0.001168224,0.849722353,0,10135,0.5377440148595432,B,1,virema
E,neg,2662,2660,Deletion_reverse,2,0,0.001853568,0.00185701,0,0.001163467,0.849722353,0,10136,0.7465201854727999,B,1,virema
E,neg,2668,2976,Insertion_reverse,1,0,0.000938086,0.000307125,0,0.000297619,0.4248611766105425,0,10446,0.6980919264867901,B,1,virema
E,neg,2783,2780,Deletion_reverse,2,0,0.00109589,0.001114827,0,0.00074239,0.849722353,0,10135,0.7998529694587911,B,1,virema
E,neg,2788,2786,Deletion_reverse,1,0,0.000550964,0.000520291,0,0.00036483,0.4248611766105425,0,10136,0.7285754912120568,B,1,virema
E,neg,2797,2795,Deletion_reverse,1,0,0.000512821,0.000517331,0,0.000368596,0.4248611766105425,0,10136,0.5734773943323783,B,1,virema
E,neg,2843,2837,Deletion_reverse,1,0,0.000374111,0.000388954,0,0.000361402,0.4248611766105425,0,10132,0.7623096644085112,B,1,virema
E,neg,2859,2859,Insertion_reverse,1,0,0.000339674,0.000339674,0,0.000335121,0.4248611766105425,0,10138,0.7928351322500047,B,1,virema
E,neg,2895,2893,Deletion_reverse,1,0,0.000377216,0.000379507,0,0.000347826,0.4248611766105425,0,10136,0.8134084272725474,B,1,virema
E,neg,2909,2907,Deletion_reverse,1,0,0.000347343,0.000347705,0,0.000319387,0.4248611766105425,0,10136,0.5714336452443282,B,1,virema
E,neg,2929,2927,Deletion_reverse,1,0,0.00034965,0.000348189,0,0.000310174,0.4248611766105425,0,10136,0.7221198885154049,B,1,virema
E,neg,2939,2937,Deletion_reverse,3,0,0.001044932,0.001046755,0,0.000924214,1.2745835298316275,0,10136,0.7455980655207843,B,1,virema
E,neg,2972,2970,Deletion_reverse,3,0,0.000930233,0.000951475,0,0.000902256,1.2745835298316275,0,10136,0.6334999156858686,B,1,virema
E,neg,2981,2978,Deletion_reverse,1,0,0.000296384,0.000304878,0,0.000295421,0.4248611766105425,0,10135,0.7909252104075732,B,1,virema
E,neg,2981,2979,Deletion_reverse,1,0,0.000296384,0.000300752,0,0.000291206,0.4248611766105425,0,10136,0.796377065,B,1,virema
E,neg,2993,2991,Deletion_reverse,1,0,0.000278862,0.000280426,0,0.000274048,0.4248611766105425,0,10136,0.8656605508429337,B,1,virema
E,neg,2998,3176,Insertion_reverse,1,0,0.000272777,0.000527983,0,0.000441112,0.4248611766105425,0,10316,0.835483188,B,1,virema
E,neg,3023,4701,Insertion_reverse,1,0,0.000260756,0.000185048,0,0.000153257,0.4248611766105425,0,11816,0.7751651049523707,B,1,virema
E,neg,3043,3041,Deletion_reverse,2,0,0.000615574,0.000618812,0,0.000562588,0.849722353,0,10136,0.8559340479134115,B,1,virema
E,neg,3179,3177,Deletion_reverse,1,0,0.000516796,0.000524384,0,0.00045683,0.4248611766105425,0,10136,0.6077650492214175,B,1,virema
E,neg,3212,3209,Deletion_reverse,1,0,0.000403226,0.000409668,0,0.000401768,0.4248611766105425,0,10135,0.5277181967024832,B,1,virema
E,neg,3222,9037,Insertion_reverse,1,0,0.000389408,0.00024975,0,0.000226091,0.4248611766105425,0,15953,0.7752725052840844,B,1,virema
E,neg,3257,3254,Deletion_reverse,1,0,0.000336247,0.000326264,0,0.000317662,0.4248611766105425,0,10135,0.734599355,B,1,virema
E,neg,3258,3256,Deletion_reverse,1,0,0.000333222,0.000334001,0,0.000323729,0.4248611766105425,0,10136,0.7412525729413773,B,1,virema
E,neg,3274,3271,Deletion_reverse,2,0,0.000637959,0.000647459,0,0.000609756,0.849722353,0,10135,0.5046166893180347,B,1,virema
E,neg,3292,4708,Insertion_reverse,1,0,0.000288268,0.00018162,0,0.000155255,0.4248611766105425,0,11554,0.7618423576527387,B,1,virema
E,neg,3305,3303,Deletion_reverse,1,0,0.000292227,0.00030248,0,0.000279018,0.4248611766105425,0,10136,0.8009730606151012,B,1,virema
E,neg,3312,3310,Deletion_reverse,1,0,0.000320718,0.000308166,0,0.000295421,0.4248611766105425,0,10136,0.7589581384883387,B,1,virema
E,neg,3334,3332,Deletion_reverse,1,0,0.000286041,0.000287191,0,0.000273224,0.4248611766105425,0,10136,0.7684871493915406,B,1,virema
E,neg,3364,3362,Deletion_reverse,1,0,0.000254582,0.000256608,0,0.000233046,0.4248611766105425,0,10136,0.5450647960035783,B,1,virema
E,neg,3365,7476,Insertion_reverse,1,0,0.000253678,0.000348554,0,0.000345543,0.4248611766105425,0,14249,0.5017967784653398,B,1,virema
E,neg,3387,3384,Deletion_reverse,2,0,0.000498256,0.00050025,0,0.000478698,0.849722353,0,10135,0.5455449689335977,B,1,virema
E,neg,3387,9225,Insertion_reverse,1,0,0.000249128,0.000271961,0,0.000271518,0.4248611766105425,0,15976,0.5877043124777533,B,1,virema
E,neg,3391,3389,Deletion_reverse,2,0,0.000540541,0.000519886,0,0.000493705,0.849722353,0,10136,0.5475737644692003,B,1,virema
E,neg,3401,3398,Deletion_reverse,4,0,0.001089325,0.001064396,0,0.001012658,1.699444706,0,10135,0.7129731358251844,B,1,virema
E,neg,3410,3407,Deletion_reverse,1,0,0.000263158,0.000262743,0,0.000251383,0.4248611766105425,0,10135,0.7069424282043677,B,1,virema
E,neg,3421,3418,Deletion_reverse,1,0,0.000246002,0.000258665,0,0.000248139,0.4248611766105425,0,10135,0.5982627234317224,B,1,virema
E,neg,3438,3434,Deletion_reverse,1,0,0.000244678,0.000248818,0,0.000251319,0.4248611766105425,0,10134,0.7980897583561998,B,1,virema
E,neg,3440,2965,Deletion_reverse,1,0,0.000244738,0.000319489,0,0.000302206,0.4248611766105425,0,9663,0.8248538344955643,B,1,virema
E,neg,3440,3438,Deletion_reverse,1,0,0.000244738,0.000244678,0,0.000251004,0.4248611766105425,0,10136,0.792824541,B,1,virema
E,neg,3445,3445,Insertion_reverse,1,0,0.00024432,0.00024432,0,0.000251067,0.4248611766105425,0,10138,0.5399430060770747,B,1,virema
E,neg,3456,3454,Deletion_reverse,3,0,0.000781861,0.000782677,0,0.000767263,1.2745835298316275,0,10136,0.8652873031700179,B,1,virema
E,neg,3569,6388,Insertion_reverse,1,0,0.000505817,0.00028401,0,0.00027533,0.4248611766105425,0,12957,0.6527045823173231,B,1,virema
E,neg,3594,3592,Deletion_reverse,3,0,0.001442308,0.001450677,0,0.001279318,1.2745835298316275,0,10136,0.670699288,B,1,virema
E,neg,3599,3597,Deletion_reverse,1,0,0.000456621,0.000471698,0,0.000419815,0.4248611766105425,0,10136,0.6145025317591347,B,1,virema
E,neg,3614,3611,Deletion_reverse,5,0,0.002089427,0.002092926,0,0.001973165,2.124305883052713,0,10135,0.7708643940291694,B,1,virema
E,neg,3617,3611,Deletion_reverse,1,0,0.000411353,0.000418585,0,0.000394633,0.4248611766105425,0,10132,0.5188067274036793,B,1,virema
E,neg,3670,3668,Deletion_reverse,1,0,0.000293772,0.000295508,0,0.000294638,0.4248611766105425,0,10136,0.7684871493915406,B,1,virema
E,neg,3699,3697,Deletion_reverse,1,0,0.000350877,0.000352609,0,0.000350385,0.4248611766105425,0,10136,0.8101539126161871,B,1,virema
E,neg,3700,3697,Deletion_reverse,1,0,0.00035014,0.000352609,0,0.000350385,0.4248611766105425,0,10135,0.7777043664324091,B,1,virema
E,neg,3725,3722,Deletion_reverse,1,0,0.000332005,0.0003367,0,0.000335683,0.4248611766105425,0,10135,0.7623096644085112,B,1,virema
E,neg,3760,9928,Insertion_reverse,1,0,0.000295946,0.000597015,0,0.000577701,0.4248611766105425,0,16306,0.5560321499381972,B,1,virema
E,neg,3778,6529,Insertion_reverse,1,0,0.000298418,0.000646412,0,0.000302115,0.4248611766105425,0,12889,0.7307435522347014,B,1,virema
E,neg,3907,3907,Insertion_reverse,1,0,0.000963391,0.000963391,0,0.000376081,0.4248611766105425,0,10138,0.8513019261179464,B,1,virema
E,neg,3985,3985,Insertion_reverse,1,0,0.001262626,0.001262626,0,0.000508906,0.4248611766105425,0,10138,0.7375698248168299,B,1,virema
E,neg,4023,4021,Deletion_reverse,1,0,0.000649773,0.000653168,0,0.000391543,0.4248611766105425,0,10136,0.6709658307095062,B,1,virema
E,neg,4036,4034,Deletion_reverse,1,0,0.000572082,0.000608643,0,0.000388802,0.4248611766105425,0,10136,0.6048754419425886,B,1,virema
E,neg,4042,4040,Deletion_reverse,3,0,0.001620746,0.001629549,0,0.001163693,1.2745835298316275,0,10136,0.5829796942689187,B,1,virema
E,neg,4066,4063,Deletion_reverse,1,0,0.000481928,0.000458926,0,0.000350385,0.4248611766105425,0,10135,0.7758290350171114,B,1,virema
E,neg,4094,4162,Insertion_reverse,1,0,0.000493583,0.000367377,0,0.000327332,0.4248611766105425,0,10206,0.6884595352558367,B,1,virema
E,neg,4221,4219,Deletion_reverse,1,0,0.000654022,0.000685871,0,0.000250501,0.4248611766105425,0,10136,0.5027944724819625,B,1,virema
