passage,lineage,rep,BP,RI,sense,DVG_type,length_dvg,read_counts_virema,pBP_virema,pRI_virema,rpht_virema,read_counts_ditector,pBP_ditector,pRI_ditector,rpht_ditector
One,C,One,3156,7044,Pos,Deletion_forward,6250,0,0,0,0,1,0.007142857,0,8.028259473
One,C,One,3296,2972,Pos,Insertion_forward,10462,0,0,0,0,1,0.005747126,0,8.028259473
One,C,One,334,340,Pos,Deletion_forward,10132,0,0,0,0,3,0.071428571,0,24.08477842
One,C,One,3377,3554,Pos,Deletion_forward,9961,0,0,0,0,1,0.004291845,0,8.028259473
One,C,One,337,342,Pos,Deletion_forward,10133,0,0,0,0,1,0.023809524,0,8.028259473
One,C,One,3388,6,Pos,Insertion_forward,13520,0,0,0,0,1,0.004651163,0,8.028259473
One,C,One,3461,7811,Pos,Deletion_forward,5788,0,0,0,0,1,0.004524887,0,8.028259473
One,C,One,3467,3205,Pos,Insertion_forward,10400,0,0,0,0,1,0.005319149,0,8.028259473
One,C,One,349,1101,Pos,Deletion_forward,9386,0,0,0,0,3,0.065217391,0,24.08477842
One,C,One,3674,6211,Pos,Deletion_forward,7601,0,0,0,0,1,0.006024096,0,8.028259473
One,C,One,3758,4824,Pos,Deletion_forward,9072,0,0,0,0,1,0.005376344,0,8.028259473
One,C,One,3807,4599,Pos,Deletion_forward,9346,0,0,0,0,1,0.005076142,0,8.028259473
One,C,One,3845,7378,Pos,Deletion_forward,6605,0,0,0,0,1,0.004878049,0,8.028259473
One,C,One,4456,8504,Pos,Deletion_forward,6090,0,0,0,0,1,0.006622517,0,8.028259473
One,C,One,4507,4770,Pos,Deletion_forward,9875,0,0,0,0,1,0.008064516,0,8.028259473
One,C,One,4601,2297,Pos,Insertion_forward,12442,0,0,0,0,1,0.004926108,0,8.028259473
One,C,One,4635,4110,Pos,Insertion_forward,10663,0,0,0,0,1,0.003584229,0,8.028259473
One,C,One,4700,4485,Pos,Insertion_forward,10353,0,0,0,0,1,0.002824859,0,8.028259473
One,C,One,4760,4081,Pos,Insertion_forward,10817,0,0,0,0,1,0.003802281,0,8.028259473
One,C,One,4934,4658,Pos,Insertion_forward,10414,0,0,0,0,1,0.005780347,0,8.028259473
One,C,One,4969,2225,Pos,Insertion_forward,12882,0,0,0,0,1,0.005747126,0,8.028259473
One,C,One,5082,8447,Pos,Deletion_forward,6773,0,0,0,0,1,0.004444444,0,8.028259473
One,C,One,5104,4234,Pos,Insertion_forward,11008,0,0,0,0,1,0.005681818,0,8.028259473
One,C,One,5133,2309,Pos,Insertion_forward,12962,0,0,0,0,1,0.006756757,0,8.028259473
One,C,One,5295,2984,Pos,Insertion_forward,12449,0,0,0,0,1,0.004291845,0,8.028259473
One,C,One,5425,9141,Pos,Deletion_forward,6422,0,0,0,0,1,0.005181347,0,8.028259473
One,C,One,5445,5356,Pos,Insertion_forward,10227,0,0,0,0,1,0.005050505,0,8.028259473
One,C,One,5658,4204,Pos,Insertion_forward,11592,0,0,0,0,1,0.005154639,0,8.028259473
One,C,One,5685,2115,Pos,Insertion_forward,13708,0,0,0,0,1,0.004950495,0,8.028259473
One,C,One,5696,4708,Pos,Insertion_forward,11126,0,0,0,0,1,0.005076142,0,8.028259473
One,C,One,5780,6096,Pos,Deletion_forward,9822,0,0,0,0,1,0.010989011,0,8.028259473
One,C,One,5872,3687,Pos,Insertion_forward,12323,0,0,0,0,1,0.004878049,0,8.028259473
One,C,One,5962,8068,Pos,Deletion_forward,8032,0,0,0,0,1,0.005434783,0,8.028259473
One,C,One,6051,7743,Pos,Deletion_forward,8446,0,0,0,0,1,0.006896552,0,8.028259473
One,C,One,6177,3345,Pos,Insertion_forward,12970,0,0,0,0,1,0.004464286,0,8.028259473
One,C,One,6189,2856,Pos,Insertion_forward,13471,0,0,0,0,1,0.004830918,0,8.028259473
One,C,One,6208,7745,Pos,Deletion_forward,8601,0,0,0,0,1,0.005714286,0,8.028259473
One,C,One,6220,4206,Pos,Insertion_forward,12152,0,0,0,0,1,0.006535948,0,8.028259473
One,C,One,6220,8741,Pos,Deletion_forward,7617,0,0,0,0,1,0.006535948,0,8.028259473
One,C,One,6271,5469,Pos,Insertion_forward,10940,0,0,0,0,1,0.01,0,8.028259473
One,C,One,632,8784,Pos,Deletion_forward,1986,0,0,0,0,1,0.012345679,0,8.028259473
One,C,One,6384,4813,Pos,Insertion_forward,11709,0,0,0,0,1,0.006410256,0,8.028259473
One,C,One,6474,8988,Pos,Deletion_forward,7624,0,0,0,0,1,0.005025126,0,8.028259473
One,C,One,6511,1335,Pos,Insertion_forward,15314,0,0,0,0,1,0.007142857,0,8.028259473
One,C,One,6665,6598,Pos,Insertion_forward,10205,0,0,0,0,1,0.003759398,0,8.028259473
One,C,One,6672,2913,Pos,Insertion_forward,13897,0,0,0,0,1,0.003787879,0,8.028259473
One,C,One,6757,4327,Pos,Insertion_forward,12568,0,0,0,0,1,0.005681818,0,8.028259473
One,C,One,6778,8499,Pos,Deletion_forward,8417,0,0,0,0,1,0.006410256,0,8.028259473
One,C,One,6807,2171,Pos,Insertion_forward,14774,0,0,0,0,1,0.00625,0,8.028259473
One,C,One,6943,9517,Pos,Deletion_forward,7564,0,0,0,0,1,0.005617978,0,8.028259473
One,C,One,7024,6969,Pos,Insertion_forward,10193,0,0,0,0,1,0.006451613,0,8.028259473
One,C,One,7070,8046,Pos,Deletion_forward,9162,0,0,0,0,1,0.006369427,0,8.028259473
One,C,One,7120,5213,Pos,Insertion_forward,12045,0,0,0,0,1,0.005464481,0,8.028259473
One,C,One,7497,2525,Pos,Insertion_forward,15110,0,0,0,0,1,0.008928571,0,8.028259473
One,C,One,7498,3456,Pos,Insertion_forward,14180,0,0,0,0,1,0.009433962,0,8.028259473
One,C,One,7675,9000,Pos,Deletion_forward,8813,0,0,0,0,1,0.00617284,0,8.028259473
One,C,One,7701,1586,Pos,Insertion_forward,16253,0,0,0,0,1,0.013333333,0,8.028259473
One,C,One,7736,5744,Pos,Insertion_forward,12130,0,0,0,0,1,0.00990099,0,8.028259473
One,C,One,8068,5876,Pos,Insertion_forward,12330,0,0,0,0,1,0.004716981,0,8.028259473
One,C,One,8097,2491,Pos,Insertion_forward,15744,0,0,0,0,1,0.004219409,0,8.028259473
One,C,One,8107,685,Pos,Insertion_forward,17560,0,0,0,0,1,0.004201681,0,8.028259473
One,C,One,8249,5434,Pos,Insertion_forward,12953,0,0,0,0,1,0.004807692,0,8.028259473
One,C,One,8251,8176,Pos,Insertion_forward,10213,0,0,0,0,1,0.005025126,0,8.028259473
One,C,One,8346,9378,Pos,Deletion_forward,9106,0,0,0,0,1,0.008196721,0,8.028259473
One,C,One,8347,7899,Pos,Insertion_forward,10586,0,0,0,0,1,0.008928571,0,8.028259473
One,C,One,8561,8922,Pos,Deletion_forward,9777,0,0,0,0,1,0.004310345,0,8.028259473
One,C,One,8577,3789,Pos,Insertion_forward,14926,0,0,0,0,1,0.004444444,0,8.028259473
One,C,One,8600,10072,Pos,Deletion_forward,8666,0,0,0,0,1,0.004784689,0,8.028259473
One,C,One,8732,2852,Pos,Insertion_forward,16018,0,0,0,0,1,0.006993007,0,8.028259473
One,C,One,8736,9803,Pos,Deletion_forward,9071,0,0,0,0,1,0.006756757,0,8.028259473
One,C,One,8792,3038,Pos,Insertion_forward,15892,0,0,0,0,1,0.004048583,0,8.028259473
One,C,One,8826,9621,Pos,Deletion_forward,9343,0,0,0,0,1,0.003875969,0,8.028259473
One,C,One,8843,8102,Pos,Insertion_forward,10879,0,0,0,0,1,0.004291845,0,8.028259473
One,C,One,8855,3993,Pos,Insertion_forward,15000,0,0,0,0,1,0.004504505,0,8.028259473
One,C,One,8855,9587,Pos,Deletion_forward,9406,0,0,0,0,1,0.004504505,0,8.028259473
One,C,One,8858,4517,Pos,Insertion_forward,14479,0,0,0,0,1,0.004672897,0,8.028259473
One,C,One,8876,4207,Pos,Insertion_forward,14807,0,0,0,0,1,0.004926108,0,8.028259473
One,C,One,8936,8082,Pos,Insertion_forward,10992,0,0,0,0,1,0.004926108,0,8.028259473
One,C,One,9104,6507,Pos,Insertion_forward,12735,0,0,0,0,1,0.01010101,0,8.028259473
One,C,One,9132,3057,Pos,Insertion_forward,16213,0,0,0,0,1,0.00877193,0,8.028259473
One,C,One,9237,5908,Pos,Insertion_forward,13467,0,0,0,0,1,0.004854369,0,8.028259473
One,C,One,9277,5579,Pos,Insertion_forward,13836,0,0,0,0,1,0.005847953,0,8.028259473
One,C,One,9321,8006,Pos,Insertion_forward,11453,0,0,0,0,1,0.007633588,0,8.028259473
One,C,One,9383,2123,Pos,Insertion_forward,17398,0,0,0,0,1,0.009174312,0,8.028259473
One,C,One,9490,9549,Pos,Deletion_forward,10079,0,0,0,0,1,0.005102041,0,8.028259473
One,C,One,9500,9476,Pos,Insertion_forward,10162,0,0,0,0,1,0.005181347,0,8.028259473
One,C,One,9670,6371,Pos,Insertion_forward,13437,0,0,0,0,1,0.005025126,0,8.028259473
One,C,One,9803,388,Pos,Insertion_forward,19553,0,0,0,0,1,0.008196721,0,8.028259473
One,C,One,9925,8216,Pos,Insertion_forward,11847,0,0,0,0,1,0.010204082,0,8.028259473
One,C,One,3236,3281,Neg_Pos,3cb/sb,13759,1,0.006711409,0.005952381,8.612522608,0,0,0.005681818,0
One,C,One,3273,3244,Neg_Pos,3cb/sb,13759,0,0,0,0,1,0.005988024,0,8.028259473
One,C,One,10072,8600,Neg,Deletion_reverse,8666,1,0.014925373,0.005464481,8.612522608,0,0,0.004784689,0
One,C,One,1574,1572,Neg,Deletion_reverse,10136,1,0.00617284,0.00621118,8.612522608,0,0,0.00621118,0
One,C,One,186,184,Neg,Deletion_reverse,10136,1,0.008,0.008064516,8.612522608,0,0,0.008,0
One,C,One,2194,2192,Neg,Deletion_reverse,10136,1,0.007142857,0.007142857,8.612522608,0,0,0.005464481,0
One,C,One,2195,2140,Neg,Deletion_reverse,10083,1,0.006944444,0.014084507,8.612522608,0,0,0.006849315,0
One,C,One,2228,4972,Neg,Insertion_reverse,12882,1,0.006535948,0.006535948,8.612522608,0,0,0.005263158,0
One,C,One,2245,2243,Neg,Deletion_reverse,10136,1,0.006993007,0.006944444,8.612522608,0,0,0.00621118,0
One,C,One,224,222,Neg,Deletion_reverse,10136,1,0.008695652,0.00862069,8.612522608,0,0,0.008695652,0
One,C,One,274,272,Neg,Deletion_reverse,10136,45,0.569620253,0.6,387.5635174,0,0,0.535714286,0
One,C,One,2851,8731,Neg,Insertion_reverse,16018,1,0.008130081,0.007142857,8.612522608,0,0,0.007092199,0
One,C,One,2939,2937,Neg,Deletion_reverse,10136,1,0.00621118,0.00621118,8.612522608,0,0,0.005617978,0
One,C,One,2947,2947,Neg,Insertion_reverse,10138,1,0.006289308,0.006289308,8.612522608,0,0,0.005681818,0
One,C,One,2972,3296,Neg,Insertion_reverse,10462,1,0.005376344,0.00617284,8.612522608,0,0,0.005747126,0
One,C,One,2983,5294,Neg,Insertion_reverse,12449,1,0.005076142,0.005,8.612522608,0,0,0.004201681,0
One,C,One,2988,2986,Neg,Deletion_reverse,10136,1,0.004672897,0.004739336,8.612522608,0,0,0.004694836,0
One,C,One,2993,2991,Neg,Deletion_reverse,10136,1,0.004651163,0.004672897,8.612522608,0,0,0.00462963,0
One,C,One,3038,2977,Neg,Deletion_reverse,10077,1,0.005154639,0.005319149,8.612522608,0,0,0.005263158,0
One,C,One,3204,3466,Neg,Insertion_reverse,10400,1,0.007751938,0.005347594,8.612522608,0,0,0.005050505,0
One,C,One,3340,3338,Neg,Deletion_reverse,10136,1,0.005988024,0.005988024,8.612522608,0,0,0.005649718,0
One,C,One,3345,6177,Neg,Insertion_reverse,12970,1,0.005747126,0.004950495,8.612522608,0,0,0.004464286,0
One,C,One,3434,3432,Neg,Deletion_reverse,10136,1,0.004291845,0.004291845,8.612522608,0,0,0.004310345,0
One,C,One,3456,7498,Neg,Insertion_reverse,14180,1,0.004201681,0.011764706,8.612522608,0,0,0.009433962,0
One,C,One,3686,5871,Neg,Insertion_reverse,12323,1,0.007092199,0.006622517,8.612522608,0,0,0.005050505,0
One,C,One,3790,8578,Neg,Insertion_reverse,14926,1,0.005464481,0.004385965,8.612522608,0,0,0.004366812,0
One,C,One,4085,4763,Neg,Insertion_reverse,10816,1,0.012658228,0.003802281,8.612522608,0,0,0.003731343,0
One,C,One,4122,1611,Neg,Deletion_reverse,7627,1,0.0125,0.007194245,8.612522608,0,0,0.007042254,0
One,C,One,4234,5104,Neg,Insertion_reverse,11008,1,0.009708738,0.007142857,8.612522608,0,0,0.005681818,0
One,C,One,4257,4254,Neg,Deletion_reverse,10135,1,0.008333333,0.008474576,8.612522608,0,0,0.0041841,0
One,C,One,4330,6760,Neg,Insertion_reverse,12568,1,0.005291005,0.006289308,8.612522608,0,0,0.006329114,0
One,C,One,4485,4700,Neg,Insertion_reverse,10353,1,0.009009009,0.003597122,8.612522608,0,0,0.002824859,0
One,C,One,4512,4513,Neg,Insertion_reverse,10139,1,0.008064516,0.007575758,8.612522608,0,0,0.007692308,0
One,C,One,4645,4645,Neg,Insertion_reverse,10138,2,0.013071895,0.013071895,17.22504522,0,0,0.007246377,0
One,C,One,4770,4507,Neg,Deletion_reverse,9875,1,0.004166667,0.008,8.612522608,0,0,0.008064516,0
One,C,One,4777,2995,Neg,Deletion_reverse,8356,1,0.004081633,0.00462963,8.612522608,0,0,0.00462963,0
One,C,One,4787,4787,Neg,Insertion_reverse,10138,1,0.004807692,0.004807692,8.612522608,0,0,0.004524887,0
One,C,One,4847,4845,Neg,Deletion_reverse,10136,1,0.004255319,0.004524887,8.612522608,0,0,0.004219409,0
One,C,One,4867,4864,Neg,Deletion_reverse,10135,1,0.003937008,0.003937008,8.612522608,0,0,0.003921569,0
One,C,One,4938,4936,Neg,Deletion_reverse,10136,1,0.005464481,0.005681818,8.612522608,0,0,0.005464481,0
One,C,One,5354,5443,Neg,Insertion_reverse,10227,1,0.005291005,0.005181347,8.612522608,0,0,0.005050505,0
One,C,One,5364,5361,Neg,Deletion_reverse,10135,1,0.005263158,0.005263158,8.612522608,0,0,0.005208333,0
One,C,One,5434,8249,Neg,Insertion_reverse,12953,1,0.005154639,0.004807692,8.612522608,0,0,0.004807692,0
One,C,One,5469,6271,Neg,Insertion_reverse,10940,1,0.005617978,0.012195122,8.612522608,0,0,0.01,0
One,C,One,6191,6191,Neg,Insertion_reverse,10138,1,0.004830918,0.004830918,8.612522608,0,0,0.004830918,0
One,C,One,6211,3674,Neg,Deletion_reverse,7601,1,0.006849315,0.006024096,8.612522608,0,0,0.006024096,0
One,C,One,6278,6276,Neg,Deletion_reverse,10136,1,0.014285714,0.014285714,8.612522608,0,0,0.011363636,0
One,C,One,6370,9669,Neg,Insertion_reverse,13437,1,0.006369427,0.005405405,8.612522608,0,0,0.005025126,0
One,C,One,6406,2811,Neg,Deletion_reverse,6543,1,0.005347594,0.008695652,8.612522608,0,0,0.007092199,0
One,C,One,6592,6659,Neg,Insertion_reverse,10205,1,0.006622517,0.00390625,8.612522608,0,0,0.00390625,0
One,C,One,6730,6727,Neg,Deletion_reverse,10135,1,0.005208333,0.005128205,8.612522608,0,0,0.005154639,0
One,C,One,7181,7179,Neg,Deletion_reverse,10136,1,0.006896552,0.006896552,8.612522608,0,0,0.006896552,0
One,C,One,7303,7301,Neg,Deletion_reverse,10136,2,0.011627907,0.011695906,17.22504522,0,0,0.011627907,0
One,C,One,7433,7430,Neg,Deletion_reverse,10135,1,0.003984064,0.003921569,8.612522608,0,0,0.003745318,0
One,C,One,7454,7452,Neg,Deletion_reverse,10136,1,0.004784689,0.004739336,8.612522608,0,0,0.004444444,0
One,C,One,7745,6208,Neg,Deletion_reverse,8601,1,0.016129032,0.005780347,8.612522608,0,0,0.005714286,0
One,C,One,7811,3461,Neg,Deletion_reverse,5788,1,0.00625,0.004329004,8.612522608,0,0,0.004524887,0
One,C,One,8046,7070,Neg,Deletion_reverse,9162,1,0.006024096,0.01754386,8.612522608,0,0,0.006369427,0
One,C,One,8447,5082,Neg,Deletion_reverse,6773,1,0.0078125,0.009009009,8.612522608,0,0,0.004444444,0
One,C,One,8504,4456,Neg,Deletion_reverse,6090,1,0.006060606,0.006711409,8.612522608,0,0,0.006622517,0
One,C,One,8590,8587,Neg,Deletion_reverse,10135,1,0.005347594,0.004672897,8.612522608,0,0,0.004608295,0
One,C,One,8741,6220,Neg,Deletion_reverse,7617,1,0.00621118,0.007633588,8.612522608,0,0,0.006535948,0
One,C,One,8922,8561,Neg,Deletion_reverse,9777,1,0.005524862,0.004310345,8.612522608,0,0,0.004310345,0
One,C,One,8996,7671,Neg,Deletion_reverse,8813,1,0.004464286,0.03125,8.612522608,0,0,0.006060606,0
One,C,One,9006,9004,Neg,Deletion_reverse,10136,1,0.004545455,0.004545455,8.612522608,0,0,0.004273504,0
One,C,One,9229,9227,Neg,Deletion_reverse,10136,1,0.005347594,0.005319149,8.612522608,0,0,0.005291005,0
One,C,One,9378,8346,Neg,Deletion_reverse,9106,1,0.009615385,0.008474576,8.612522608,0,0,0.008196721,0
One,C,One,9467,9464,Neg,Deletion_reverse,10135,1,0.005780347,0.006097561,8.612522608,0,0,0.005813953,0
One,C,One,9496,2171,Neg,Deletion_reverse,2813,1,0.005208333,0.008547009,8.612522608,0,0,0.006329114,0
One,C,One,9549,9490,Neg,Deletion_reverse,10079,1,0.005376344,0.005128205,8.612522608,0,0,0.005102041,0
One,C,One,9585,8853,Neg,Deletion_reverse,9406,1,0.00456621,0.004385965,8.612522608,0,0,0.004385965,0
One,C,One,9621,8826,Neg,Deletion_reverse,9343,1,0.005235602,0.00390625,8.612522608,0,0,0.003875969,0
One,C,One,9630,9627,Neg,Deletion_reverse,10135,1,0.005263158,0.004878049,8.612522608,0,0,0.004854369,0
One,C,One,9677,9675,Neg,Deletion_reverse,10136,2,0.010416667,0.010309278,17.22504522,0,0,0.009569378,0
One,C,One,9863,9861,Neg,Deletion_reverse,10136,1,0.009345794,0.010416667,8.612522608,0,0,0.009433962,0
One,E,One,10058,1736,Pos,Insertion_forward,18460,0,0,0,0,1,0.000530223,0,0.40226556
One,E,One,10083,108,Pos,Insertion_forward,20113,0,0,0,0,1,0.002352941,0,0.40226556
One,E,One,10119,10045,Pos,Insertion_forward,10212,0,0,0,0,1,0.004149378,0,0.40226556
One,E,One,1147,5568,Pos,Deletion_forward,5717,0,0,0,0,1,0.000613121,0,0.40226556
One,E,One,1227,9160,Pos,Deletion_forward,2205,0,0,0,0,1,0.000355619,0,0.40226556
One,E,One,1298,7582,Pos,Deletion_forward,3854,0,0,0,0,1,0.00027465,0,0.40226556
One,E,One,131,2713,Pos,Deletion_forward,7556,0,0,0,0,1,0.000401284,0,0.40226556
One,E,One,1320,9408,Pos,Deletion_forward,2050,0,0,0,0,1,0.000271739,0,0.40226556
One,E,One,1331,9278,Pos,Deletion_forward,2191,0,0,0,0,1,0.00027027,0,0.40226556
One,E,One,1333,9028,Pos,Deletion_forward,2443,0,0,0,0,1,0.000264131,0,0.40226556
One,E,One,1333,9985,Pos,Deletion_forward,1486,0,0,0,0,1,0.000264131,0,0.40226556
One,E,One,1337,7884,Pos,Deletion_forward,3591,0,0,0,0,1,0.000269107,0,0.40226556
One,E,One,1354,523,Pos,Insertion_forward,10969,0,0,0,0,1,0.000360101,0,0.40226556
One,E,One,1360,3833,Pos,Deletion_forward,7665,0,0,0,0,1,0.000350631,0,0.40226556
One,E,One,1392,5358,Pos,Deletion_forward,6172,0,0,0,0,2,0.00073828,0,0.804531119
One,E,One,1406,4362,Pos,Deletion_forward,7182,0,0,0,0,1,0.000365097,0,0.40226556
One,E,One,1412,6388,Pos,Deletion_forward,5162,0,0,0,0,1,0.000343643,0,0.40226556
One,E,One,1426,1361,Pos,Insertion_forward,10203,0,0,0,0,1,0.000371333,0,0.40226556
One,E,One,1486,4515,Pos,Deletion_forward,7109,0,0,0,0,1,0.000303306,0,0.40226556
One,E,One,1522,3593,Pos,Deletion_forward,8067,0,0,0,0,1,0.000292569,0,0.40226556
One,E,One,1525,5400,Pos,Deletion_forward,6263,0,0,0,0,1,0.000295508,0,0.40226556
One,E,One,1581,5621,Pos,Deletion_forward,6098,0,0,0,0,1,0.000326371,0,0.40226556
One,E,One,1587,6628,Pos,Deletion_forward,5097,0,0,0,0,1,0.000344709,0,0.40226556
One,E,One,1593,7087,Pos,Deletion_forward,4644,0,0,0,0,1,0.00033557,0,0.40226556
One,E,One,1609,8055,Pos,Deletion_forward,3692,0,0,0,0,1,0.000380373,0,0.40226556
One,E,One,1610,3897,Pos,Deletion_forward,7851,0,0,0,0,1,0.000381388,0,0.40226556
One,E,One,1636,1583,Pos,Insertion_forward,10191,0,0,0,0,1,0.000489716,0,0.40226556
One,E,One,1700,1674,Pos,Insertion_forward,10164,0,0,0,0,1,0.000397931,0,0.40226556
One,E,One,1706,1209,Pos,Insertion_forward,10635,0,0,0,0,1,0.000403714,0,0.40226556
One,E,One,1709,8102,Pos,Deletion_forward,3745,0,0,0,0,1,0.000421585,0,0.40226556
One,E,One,1722,4687,Pos,Deletion_forward,7173,0,0,0,0,1,0.000490918,0,0.40226556
One,E,One,1730,2860,Pos,Deletion_forward,9008,0,0,0,0,1,0.000553097,0,0.40226556
One,E,One,1795,1651,Pos,Insertion_forward,10282,0,0,0,0,1,0.000410172,0,0.40226556
One,E,One,1856,125,Pos,Insertion_forward,11869,0,0,0,0,1,0.000359583,0,0.40226556
One,E,One,1879,1687,Pos,Insertion_forward,10330,0,0,0,0,1,0.000320821,0,0.40226556
One,E,One,1906,1825,Pos,Insertion_forward,10219,0,0,0,0,1,0.00030553,0,0.40226556
One,E,One,1913,5554,Pos,Deletion_forward,6497,0,0,0,0,1,0.000283527,0,0.40226556
One,E,One,1943,5953,Pos,Deletion_forward,6128,0,0,0,0,1,0.000261097,0,0.40226556
One,E,One,1944,8926,Pos,Deletion_forward,3156,0,0,0,0,1,0.000266099,0,0.40226556
One,E,One,1951,4602,Pos,Deletion_forward,7487,0,0,0,0,1,0.000258264,0,0.40226556
One,E,One,1964,1694,Pos,Insertion_forward,10408,0,0,0,0,1,0.000267738,0,0.40226556
One,E,One,2009,1931,Pos,Insertion_forward,10216,0,0,0,0,1,0.000282167,0,0.40226556
One,E,One,2016,9600,Pos,Deletion_forward,2554,0,0,0,0,1,0.000302663,0,0.40226556
One,E,One,2044,1913,Pos,Insertion_forward,10269,0,0,0,0,2,0.000823723,0,0.804531119
One,E,One,2067,9172,Pos,Deletion_forward,3033,0,0,0,0,1,0.000447828,0,0.40226556
One,E,One,2126,1990,Pos,Insertion_forward,10274,0,0,0,0,1,0.000315657,0,0.40226556
One,E,One,2144,2035,Pos,Insertion_forward,10247,0,0,0,0,1,0.000320102,0,0.40226556
One,E,One,2158,1970,Pos,Insertion_forward,10326,0,0,0,0,1,0.000292483,0,0.40226556
One,E,One,2164,8023,Pos,Deletion_forward,4279,0,0,0,0,1,0.00028177,0,0.40226556
One,E,One,2201,6528,Pos,Deletion_forward,5811,0,0,0,0,1,0.000268168,0,0.40226556
One,E,One,2201,9927,Pos,Deletion_forward,2412,0,0,0,0,1,0.000268168,0,0.40226556
One,E,One,2225,6705,Pos,Deletion_forward,5658,0,0,0,0,1,0.000279018,0,0.40226556
One,E,One,2229,4937,Pos,Deletion_forward,7430,0,0,0,0,1,0.000286205,0,0.40226556
One,E,One,2245,2005,Pos,Insertion_forward,10378,0,0,0,0,1,0.00031837,0,0.40226556
One,E,One,2296,2299,Pos,Deletion_forward,10135,0,0,0,0,1,0.000314465,0,0.40226556
One,E,One,229,8225,Pos,Deletion_forward,2142,0,0,0,0,1,0.000532481,0,0.40226556
One,E,One,2311,786,Pos,Insertion_forward,11663,0,0,0,0,1,0.000316256,0,0.40226556
One,E,One,2327,7874,Pos,Deletion_forward,4591,0,0,0,0,1,0.000306373,0,0.40226556
One,E,One,233,6290,Pos,Deletion_forward,4081,0,0,0,0,1,0.000648508,0,0.40226556
One,E,One,2407,2249,Pos,Insertion_forward,10296,0,0,0,0,1,0.000289855,0,0.40226556
One,E,One,2409,2338,Pos,Insertion_forward,10209,0,0,0,0,1,0.000296121,0,0.40226556
One,E,One,2412,1874,Pos,Insertion_forward,10676,0,0,0,0,1,0.000297796,0,0.40226556
One,E,One,2518,7,Pos,Insertion_forward,12649,0,0,0,0,1,0.000362713,0,0.40226556
One,E,One,2521,2387,Pos,Insertion_forward,10272,0,0,0,0,1,0.000361141,0,0.40226556
One,E,One,2539,6250,Pos,Deletion_forward,6427,0,0,0,0,1,0.000352983,0,0.40226556
One,E,One,2568,2464,Pos,Insertion_forward,10242,0,0,0,0,1,0.000355114,0,0.40226556
One,E,One,2569,1347,Pos,Insertion_forward,11360,0,0,0,0,1,0.000352237,0,0.40226556
One,E,One,2570,2297,Pos,Insertion_forward,10411,0,0,0,0,1,0.00035137,0,0.40226556
One,E,One,2586,4473,Pos,Deletion_forward,8251,0,0,0,0,1,0.000362582,0,0.40226556
One,E,One,2626,8519,Pos,Deletion_forward,4245,0,0,0,0,1,0.000385356,0,0.40226556
One,E,One,2626,9704,Pos,Deletion_forward,3060,0,0,0,0,2,0.000770713,0,0.804531119
